question, answer
"Which matches ended in a 0-0 draw in the Serie A during the 2023-24 season?", "AC Monza vs Bologna FC, Atalanta BC vs Juventus Turin, Torino FC vs Hellas Verona"
"Did Bologna FC won AC Monza 0-3 in the 2023-24 season?", "No"
"What is the average number of corner kicks per game in Ligue 1 in the 2023-24 season?", "8.75"
"Average corner kicks ligue 1 in the 2023-24 season?", "8.75"
"Show me avg corners ligue 1 2023-24", "8.75"
"Avg corners Ligue 1 2023?", "8.75"
"Each football game in France is expected to have more than 10 corners per game", "No"
"Which stadium saw the most goals scored in the UEFA Europa League during the 2023 season?", "Sinobo Stadium with 6 goals"
"Stadium with most goals in europa league in 2023", "Sinobo Stadium with 6 goals"
"What was the most common final scoreline in the Serie A 2023-24 season?", "0-0 and 2-0 with 3 occurencies"
"Common serie a scoreline 2023?", "0-0 and 2-0"
"Which UEFA Europa League match in 2023-24 had the most goals scored by a single team?", "Slavia Prague vs FC Sheriff Tiraspol with 6 goals"
"Match with most goals by team europa league", "Slavia Prague"
"All teams that have scored more than 5 goals in a game in europa league", "Slavia Prague"
"Teams > 5 goals in a europa league game", "Slavia Prague"
"Teams with 5+ goals Europa League?", "Slavia Prague"
"What is the largest goal difference in any match played at venues with a capacity of more than 40,000?", "6"
"Max goal difference at 40k stadium?", "6"
"How many UEFA Champions League matches ended with a goal difference of 3 in favor of the away team?", "0"
"Which UEFA Champions League matches ended with a goal difference of 2 in favor of the away team?", "RB Leipzig vs Manchester City score 1-3 and FC Salzburg vs Real Sociedad San Sebastian score 0-2"
"How many draws has panahtinaikos in the europ leugue?", "1"
"How many draws has Panathinaikos Athens in the UEFA Europa League?", "1"
"How many away games has olympiacos won in the champions League?", "0"
"Olympiacos away wins UCL?", "0"
"Which is the biggest victory at the venue 'Toumba Stadium'?", "PAOK vs Volos 3-0"
"Which is the biggest victory at North Greece?", "PAOK vs Volos 3-0"
"Touba biggest win?", "PAOK 3-0 Volos"
"Biggest win at Thessaloniki?", "PAOK 3-0 Volos"
"Biggest non-Athens Greece win?", "PAOK 3-0 Volos"
"Which is the biggest victory at Greece except Athens?", "PAOK vs Volos 3-0"
"What is the total number of red cards given in La Liga during the 2023-24 season?", "45"
"La Liga total red cards 2023?", "45"
"Which team in Ligue 1 had the most clean sheets during the 2023-24 season?", "Paris Saint-Germain"
"Ligue 1 most clean sheets 2023?", "Paris Saint-Germain"
"How many goals did Olympique Lyonnais score in their home games in Ligue 1 2023-24 season?", "5"
"Goals by Lyon at home Ligue 1?", "5"
